OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,SHAPE_Length,SHAPE_Area
2660,EVANS,Wildfire Daily Fire Perimeter,Hand Sketch,0.1,2021/05/04 22:56:01+00,2021/05/04 22:56:01+00,2021/03/24 02:00:00+00,298.7826164,{61CCA1B5-1645-4641-8CAB-27F9434EB729},2021 NIFS,,DEFAULT,,2021/03/24 03:59:59+00,2021/03/24 20:29:59+00,470,0.1,ARAOC,,,,,,,,,Human,Incendiary,,NV71,,2021/03/23 21:00:00+00,,2021/04/16 17:00:00+00,,,,,PA,1522,SACC,,,,,,EVANS,,WF,FI,34.51613,-95.86808,470,,{B3CE8B6D-9ADC-49B0-9299-2A34454BCD9E},,0,1,0,0,0,,679,,,,Atoka,ARAOC,40005,,,,Private,Private,,,,,,,SA17A,BIA,OKTLA,US-OK,,,,,,2021-OKTLA-000679,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/04/22 17:34:07+00,2021/03/25 20:07:53+00,{D9B6E280-93B7-4009-919D-90E8C9B71EEA},0.052086242,-0.000118713
2661,Coffee Can,Wildfire Daily Fire Perimeter,Hand Sketch,0.75,2021/05/04 22:55:58+00,2021/05/04 22:55:58+00,2021/03/20 01:23:00+00,0.57991089,{5553AA41-1242-477E-9C0E-E515A9F29846},2021 NIFS,,DEFAULT,,2021/03/19 20:41:00+00,2021/03/19 20:41:00+00,0.75,0.75,MNMNCC,,,,,,,,,Human,Debris/Open Burning,Campfire,,,2021/03/19 20:23:00+00,,2021/03/26 17:00:00+00,,,,,,,EACC,,,,,,Coffee Can,,WF,FI,,,,2021/03/19 20:32:59+00,{B8E0155B-4BA7-4C9D-8A14-3AC01EB3C9FD},,0,,,,,,344013,,,,Anoka,MNMNCC,27003,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,Grass-Shrub,GS1,,,,2021-MNMNS-344013,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/04/02 14:16:40+00,2021/03/25 14:59:17+00,{E75798DB-A7BB-4841-BA11-FE26EF59EF2F},0.002117638,-2.69E-07
2662,Burger King,Wildfire Daily Fire Perimeter,Hand Sketch,1.2,2021/05/04 22:55:53+00,2021/05/04 22:55:53+00,2021/03/20 03:00:00+00,1.624791168,{E79C79C9-2912-4DFA-9A0B-DC7363625551},2021 NIFS,,DEFAULT,,2021/03/19 22:34:59+00,2021/03/19 22:34:59+00,1.2,1.2,MNMNCC,,,,,,,,,Unknown,Cause and Origin Not Identified,"Other, Unknown",,,2021/03/19 21:59:59+00,,2021/03/26 17:00:00+00,,,,,,,EACC,,,,,,Burger King,,WF,FI,,,,2021/03/19 22:08:00+00,{A01CDCBA-C91D-4AEC-AF67-237165DA8E42},,0,,,,,,344014,,,,Anoka,MNMNCC,27003,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,Grass,GR3,,,,2021-MNMNS-344014,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/03/31 22:04:17+00,2021/03/21 22:33:34+00,{FD2D99EF-4083-414C-B361-188BABA2C381},0.003453288,-7.54E-07
2664,Trampoline,Wildfire Daily Fire Perimeter,Hand Sketch,1,2021/05/04 22:56:04+00,2021/05/04 22:56:04+00,2021/03/27 02:10:16+00,0.211011672,{222BACEE-DFC2-4480-A1B1-D88AD291CE55},2021 NIFS,,DEFAULT,,2021/03/26 21:24:00+00,2021/03/26 21:24:00+00,1,1,MNMNCC,,,,,,,,,Human,Other Human Cause,,,,2021/03/26 21:09:00+00,,2021/03/30 17:00:00+00,,,,,,,EACC,,,,,,Trampoline,,WF,FI,,,,2021/03/26 21:20:00+00,{E436C8CB-8C3A-4B14-B329-33C05F101754},,0,,,,,,344024,,,,Anoka,MNMNCC,27003,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,Grass-Shrub,GS4,,,,2021-MNMNS-344024,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/09/23 16:46:39+00,2021/03/28 17:17:36+00,{B09FEAF5-579A-459F-B709-8F9F380A44BD},0.001735328,-9.79E-08
2665,142012,Wildfire Daily Fire Perimeter,Hand Sketch,,2021/05/04 22:56:12+00,2021/05/05 20:21:31+00,2021/03/31 22:40:11+00,0.123993372,{11BFB6AB-3B6C-40A0-BBE1-C57912204B75},2021 NIFS,,DEFAULT,0.12,2021/03/31 20:55:00+00,2021/03/31 20:55:00+00,0.1,0.1,MNMNCC,,,,,,,,,Human,Debris/Open Burning,,,,2021/03/31 20:22:33+00,,2021/04/08 15:03:00+00,,,,,,,EACC,,,,,,142012,,WF,FI,,,,2021/03/31 20:25:00+00,{0CB86BF7-E2A6-4148-91B0-0410E38291A8},,0,,,,,,142012,,,,Crow Wing,MNMNCC,27035,,,,Private,Private,,,,,,,EA01,DNR,MNMNS,US-MN,Grass,,,,,2021-MNMNS-142012,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/05/19 19:06:19+00,2021/03/31 22:23:36+00,{149C0BF9-2FB2-454D-9CFC-CD528592C9D1},0.000902085,-5.89E-08
2666,Brush ,Wildfire Daily Fire Perimeter,Mixed Methods,5.98,2021/08/23 21:29:41+00,2021/08/23 21:29:41+00,2021/03/31 20:45:00+00,5.978137525,{806660CF-57F3-43EC-BF4F-374670DD73A6},FFP,,CERTIFIED,,2021/04/01 20:24:00+00,2021/04/01 20:31:00+00,6,1,CASBCC,,,,2021/08/23 21:29:59+00,,,,,Human,Other Human Cause,"Other, Unknown",NW0H,,2021/03/31 15:59:00+00,,2021/04/01 20:31:00+00,,,,,,,OSCC,,,,,,BRUSH,,WF,FI,35.36661,-117.6194,,2021/03/31 16:11:00+00,{72A09FAF-D1C4-4506-95CF-6AC1FB6B1337},,0,1,0,0,1,,5802,,,,San Bernardino,CASBCC,6071,BLM,CACDD,,BLM,Federal,,,,,,,SC15,BLM,CACDD,US-CA,Grass,GR1,,,,2021-CACDD-005802,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/08/23 21:29:22+00,2021/03/31 16:36:36+00,{9A7E7079-4A9F-4A42-A56D-95312773AA72},0.024627578,-2.40E-06
2667,Swan Meadow,Wildfire Daily Fire Perimeter,GPS-Walked,5.26,2021/05/20 17:22:03+00,2021/05/20 17:22:03+00,2021/03/31 22:15:00+00,5.264486196,{0C24BBDC-3813-4F30-88AD-F2711E0F478E},FFP,,CERTIFIED,5.26,2021/03/31 22:50:00+00,2021/03/31 22:55:00+00,5.3,3,MTKIC,,,,2021/05/20 17:22:00+00,,,,,Human,Debris/Open Burning,Field Burning,,7036,2021/03/31 21:43:53+00,,2021/04/08 18:59:59+00,,,,,,,NRCC,,,,,,Swan Meadows,,WF,FI,48.05656,-114.0189,,2021/03/31 21:45:00+00,{78CEE998-ACD1-4C46-B935-8905EE6D0799},,0,0,0,0,0,,75,,,,Flathead,MTKIC,30029,DNRC,MTNWS,,Private,Private,,,,,,,NR02,DNRC,MTNWS,US-MT,Grass,GR2,,,,2021-MTNWS-000075,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/05/20 17:22:01+00,2021/03/31 23:21:19+00,{D43D75F1-F9F0-4369-8B4D-03E830260458},0.008565764,-2.57E-06
2669,Coal Seam West,Wildfire Daily Fire Perimeter,Mixed Methods,876.94,2021/08/23 03:11:20+00,2021/08/23 03:11:20+00,2021/04/01 00:45:00+00,832.5364367,{986D4BAA-670B-4DE2-9151-767E7CC41824},FFP,,CERTIFIED,832.54,,,928,250,SDGPC,50000,,,2021/08/23 03:11:00+00,Minimal,,,,Natural,Other Natural Cause,,NT9K,,2021/03/02 10:50:59+00,Type 3 Incident,2021/08/22 17:00:00+00,0,100,0,0,,,RMCC,2021/03/08 21:45:00+00,2021/03/07 21:45:00+00,2021/03/08 21:45:00+00,F,Type 3 Team,Coal Seam West,"10 miles west of Selfridge, ND, 16 mi nne of McIntosh",WF,FI,,,,2021/03/02 10:55:00+00,{1D4A2E27-4024-4590-9FD1-7AACFE6DDED7},1,0,1,,,0,0,2,100,100,Selfridge,Sioux,SDGPC,38085,BIA,NDSRA,,BIA,Federal,,,,,,,RM53,BIA,NDSRA,US-ND,Grass,GR2,Short Grass (1 foot),Tall Grass (2.5 feet),10,2021-NDSRA-000002,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/08/23 03:11:04+00,2021/03/02 13:34:34+00,{790325D8-4304-4BA7-AE06-D2673F40668B},0.306524765,-0.000392196
2671,Clover,Wildfire Daily Fire Perimeter,Mixed Methods,2942.01,2021/05/04 22:56:15+00,2021/05/04 22:56:15+00,2021/03/13 09:00:00+00,2941.989281,{2E944E06-7ECF-431A-B01F-84285E910645},2021 NIFS,,DEFAULT,,,,3000,1,COPBC,17800,,,,Active,,,,Human,,,NU44,,2021/03/10 20:00:00+00,Type 4 Incident,2021/03/13 18:00:00+00,0,100,0,0,PN,1522,RMCC,2021/03/13 18:00:00+00,2021/03/11 00:00:00+00,2021/03/13 18:00:00+00,F,Type 4 IC,Clover,"4 miles NE of Burns, KS",WF,FI,38.13164,-96.84902,3000,,{2BA0F5E8-3D17-490F-836C-3EC130F58029},,0,1,0,0,0,0,186,100,100,Burns,Marion,COPBC,20115,,,,Private,Private,,,,,,,RM77,C&L,KSMNX,US-KS,,,Short Grass (1 foot),Tall Grass (2.5 feet),59,2021-KSMNX-000186,No Decision,wildcad,ics209,0,,,,IRWIN,,2021/03/22 19:30:28+00,2021/03/11 15:19:07+00,{E3B324C3-3293-4B66-A623-DC3F532313D2},0.229328164,-0.0012237
2672,Socholis Canyon ,Wildfire Daily Fire Perimeter,Mixed Methods,35.68,2021/05/25 18:25:10+00,2021/05/25 18:25:10+00,2021/04/01 02:29:59+00,35.68457232,{417D5046-102B-4F62-A2CE-944D18A00BE7},FFP,,CERTIFIED,,2021/04/06 23:16:59+00,2021/04/13 23:32:00+00,30,0.1,ORLFC,,,,2021/05/25 18:25:08+00,,,,,Unknown,Investigated but Undetermined,,NW00,,2021/03/31 19:11:00+00,,2021/05/20 15:36:00+00,,,,,P6,602,NWCC,,,,,,Socholis Canyon,,WF,FI,42.55899,-121.6616,5,2021/03/31 19:30:00+00,{D3BBB5F7-9C8D-4F2B-9B5C-09793E674979},,0,1,0,0,0,,210115,,,,Klamath,ORLFC,41035,FS,ORFWF,,USFS,Federal,,,,,,,NW07,FS,ORFWF,US-OR,Brush,SH1,,,,2021-ORFWF-210115,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/05/25 18:25:08+00,2021/03/31 19:57:38+00,{C69F8DD4-A7E8-4320-ABDB-ACCF004F6DC1},0.030526586,-1.58E-05
2673,Sugar Camp,Wildfire Daily Fire Perimeter,GPS-Walked,9.51,2021/05/26 18:07:22+00,2021/05/26 18:07:22+00,2021/04/01 01:44:59+00,9.510856022,{6B788696-CDF3-49C3-89FF-F33503B592AF},FFP,,CERTIFIED,9.51,2021/03/31 22:30:00+00,2021/04/16 17:26:00+00,10.07,1,MOMOC,,,,2021/05/26 18:07:20+00,,,,,Human,Debris/Open Burning,,NW0X,,2021/03/31 19:57:59+00,,2021/04/16 17:26:00+00,,,,,P9,905,EACC,,,,,,Sugar Camp Hollow,,WF,FI,37.55935,-91.06246,15,,{4B55F775-6CE2-4943-9C1A-F0A31FBB70DC},,0,1,0,0,0,,225,,,,Reynolds,MOMOC,29179,,,,Private,Private,,,,,,,EA13,FS,MOMTF,US-MO,,,,,,2021-MOMTF-000225,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/05/26 18:07:20+00,2021/03/31 21:07:22+00,{63F1222F-AC71-49A8-998A-28B1D97DA177},0.008643903,-3.93E-06
2674,Baffin,Wildfire Daily Fire Perimeter,Mixed Methods,5861.92,2021/05/04 22:56:15+00,2021/05/04 22:56:15+00,2021/03/23 08:00:00+00,5479.798228,{B7832116-A974-4527-8D8C-C74BD60827E6},2021 NIFS,,DEFAULT,5479.82,2021/03/21 06:41:33+00,2021/03/23 21:16:20+00,4800,1000,TXTIC,1,,,,Minimal,Smoldering,Smoldering,,Human,Utilities,Power Generation/Transmission,,,2021/03/20 20:22:14+00,Type 5 Incident,2021/03/23 21:16:28+00,0,100,0,0,,,SACC,2021/03/21 08:00:00+00,2021/03/21 05:00:00+00,2021/03/21 08:00:00+00,F,Type 5 IC,Baffin,35 miles SE of Kingsville,WF,FI,27.07373333,-97.5596,,,{B8202F7D-C45C-42AF-A5FD-AC1D71880147},,0,,,,,1,211018,100,100,Kingsville,Kenedy,TXTIC,48261,SFS,TXTXS,,State,Other,,,,,,,SA15,SFS,TXTXS,US-TX,,,Tall Grass (2.5 feet),Brush (2 feet),6,2021-TXTXS-211018,No Decision,wires,INFORM_Inspector,0,,,,IRWIN,,2021/04/01 05:21:21+00,2021/03/20 22:37:23+00,{E7DE7760-E577-43A5-B37C-2160B448F269},0.764645591,-0.00201739
2675,St. Carlos,Wildfire Daily Fire Perimeter,Auto-generated,300,2021/05/04 22:55:57+00,2021/05/04 22:55:57+00,2021/03/24 03:07:17+00,1067.593976,{88EE2549-BCF5-4EF0-BAE1-C54563D9F31C},2021 NIFS,,DEFAULT,,2021/03/24 12:15:03+00,2021/03/24 21:06:17+00,745,300,TXTIC,0,,,,Minimal,Smoldering,Isolated Torching,Smoldering,Human,Debris/Open Burning,Broadcast/Prescribed Burn,,,2021/03/23 22:07:17+00,Type 5 Incident,,0,100,0,0,,,SACC,2021/03/24 21:59:59+00,2021/03/24 12:59:59+00,2021/03/24 21:59:59+00,F,Type 5 IC,St. Carlos,"about 40 miles South of Kingsville, Tx",WF,FI,26.88791667,-97.78943333,,,{E3D20D4C-D49E-48C2-9B21-08490CFE1004},,0,,,,,1,211172,100,100,,Kenedy,TXTIC,48261,SFS,TXTXS,,State,Other,,,,,,,SA15,SFS,TXTXS,US-TX,,,Short Grass (1 foot),Brush (2 feet),1,2021-TXTXS-211172,No Decision,wires,ics209,0,,,,IRWIN,,2021/03/25 02:14:38+00,2021/03/23 23:07:07+00,{9BAB961F-CB0E-4B3E-BC37-E74FD8C7408D},0.114738306,-0.000392469
2676,King,Wildfire Daily Fire Perimeter,Image Interpretation,6000,2021/05/04 22:55:49+00,2021/05/04 22:55:49+00,2021/03/18 08:01:21+00,10656.83581,{3176140D-A7F4-42FE-8D1F-B860DC6DA869},2021 NIFS,,DEFAULT,10656.88,2021/03/20 22:40:20+00,2021/03/25 21:52:05+00,11728,6000,TXTIC,1,,,,Minimal,Smoldering,Creeping,Smoldering,Human,Utilities,Power Generation/Transmission,,,2021/03/18 03:01:22+00,Type 5 Incident,2021/03/25 21:52:13+00,0,100,0,0,,,SACC,2021/03/22 21:59:59+00,2021/03/22 12:59:59+00,2021/03/22 21:59:59+00,F,Type 5 IC,King,42 miles SW of Kingsville,WF,FI,26.953071,-98.087629,,,{21C3BE24-0486-4433-983C-326D6E028C87},,0,,,,,1,210983,100,100,Kingsville,Brooks,TXTIC,48047,SFS,TXTXS,,State,Other,,,,,,,SA16,SFS,TXTXS,US-TX,,,Tall Grass (2.5 feet),Brush (2 feet),2,2021-TXTXS-210983,No Decision,wires,INFORM_Inspector,0,,,,IRWIN,,2021/04/01 05:35:58+00,2021/03/18 03:06:33+00,{A9955230-24FE-460E-9954-8F777EF78FF2},0.621785674,-0.003917949
2677,2 Section Powerline,Wildfire Daily Fire Perimeter,Image Interpretation,223.91,2021/05/04 22:56:15+00,2021/05/04 22:56:15+00,2021/04/01 05:50:00+00,236.1978485,{A66E706A-67AF-49CA-A083-32AE361B45FB},2021 NIFS,,DEFAULT,236.2,2021/02/23 00:54:00+00,2021/03/04 21:59:59+00,236,1,COPBC,,,,,,,,,Human,Utilities,,NT5A,,2021/02/22 22:55:00+00,,2021/05/07 17:00:00+00,,,,,PP,1522,RMCC,,,,,,2 Section Powerline ,,WF,FI,38.41222,-96.52059,,,{E6C7C5CB-79DD-4D08-8AE8-76439187D355},0,0,1,0,0,0,,115,,,,Chase,COPBC,20017,,,,County,Other,,,,,,,RM77,NPS,KSTGP,US-KS,Grass,GR6,,,,2021-KSTGP-000115,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/07/07 19:45:23+00,2021/02/23 20:49:56+00,{B80B06C0-C6C6-4307-83D1-8BCA9279C088},0.055394511,-9.86E-05
2678,TONY,Wildfire Daily Fire Perimeter,Mixed Methods,967,2021/05/04 22:55:36+00,2021/05/27 14:48:16+00,2021/03/07 00:00:00+00,946.6377157,{24A62899-CEDE-42D0-88D3-2ADE1278D94A},2021 NIFS,,DEFAULT,,2021/03/13 21:00:00+00,2021/03/15 17:00:00+00,967,967,ARAOC,12000,,,,Minimal,Smoldering,Creeping,,Human,,,NUS6,,2021/03/06 18:00:00+00,Type 4 Incident,2021/03/15 17:00:00+00,0,100,0,0,PA,1522,SACC,2021/03/13 21:00:00+00,2021/03/11 00:00:00+00,2021/03/13 21:00:00+00,F,Type 4 IC,TONY,"2 miles NW of Prue, OK",WF,FI,36.27617,-96.29251,250,,{B64B9BFB-A950-453C-80F9-A9C1BCB46DD5},,0,1,0,0,0,0,419,100,100,Prue,Osage,ARAOC,40113,,,,Private,Private,,,,,,,SA03,BIA,OKOSA,US-OK,,,Brush (2 feet),Tall Grass (2.5 feet),2,2021-OKOSA-000419,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/03/15 22:07:12+00,2021/03/07 21:08:08+00,{CA8A3ADD-4AFD-4271-A475-DCFDD721F369},0.091785635,-0.000384257
2679,BUCK CREEK,Wildfire Daily Fire Perimeter,Auto-generated,21.7,2021/05/04 22:55:35+00,2021/05/04 22:55:35+00,2021/03/06 04:30:00+00,31.23481708,{F8FD8797-436C-4B98-B225-9483D15DF4FD},2021 NIFS,,DEFAULT,,2021/03/06 02:00:00+00,2021/03/06 14:00:00+00,21.7,21.7,ARAOC,,,,,,,,,Human,,,NUL3,,2021/03/05 22:30:00+00,,2021/03/15 17:00:00+00,,,,,PA,1522,SACC,,,,,,BUCK CREEK,,WF,FI,36.30522,-96.30186,,,{EADB104D-E121-4363-AFF5-B7E22CB69EA4},,0,1,0,0,0,,383,,,,Osage,ARAOC,40113,,,,Private,Private,,,,,,,SA03,BIA,OKOSA,US-OK,,,,,,2021-OKOSA-000383,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/03/15 22:03:25+00,2021/03/06 13:29:12+00,{CAAC9589-584D-4DB3-9E2D-FE39B20C36B1},0.014914041,-1.27E-05
2680,Magic Waters,Wildfire Daily Fire Perimeter,GPS-Driven,27.54,2021/08/05 16:08:11+00,2021/08/05 16:08:11+00,2021/04/01 02:29:59+00,27.53612717,{CAE96E30-8E1A-41EE-84F4-462286C710D6},FFP,,CERTIFIED,,2021/04/01 03:30:00+00,2021/04/01 20:25:00+00,27.52,1,IDSCC,,,,2021/08/05 16:08:08+00,,,,,Human,Debris/Open Burning,"Other, Unknown",NW1Z,,2021/04/01 00:48:00+00,,2021/04/11 20:25:00+00,,,,,PD,1522,GBCC,,,,,,Magic Waters,,WF,FI,42.69154,-114.9356,20,2021/04/01 01:17:00+00,{9970CB46-E831-442F-9248-C972A99FC2E9},1,0,1,0,0,0,,38,,,,Twin Falls,IDSCC,16083,BLM,IDTFD,,BLM,Federal,,,,,,,GB06,BLM,IDTFD,US-ID,Grass,GR2,,,,2021-IDTFD-000038,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/08/05 16:08:10+00,2021/04/01 14:29:48+00,{BF9004EC-FE8B-4702-BDAF-9432F627B717},0.013945032,-1.22E-05
2681,Dog Creek,Wildfire Daily Fire Perimeter,Mixed Methods,1.43672385,2021/07/14 14:43:45+00,2021/07/14 14:43:45+00,2021/04/01 01:30:00+00,1.437740511,{5E8B93A0-AAEC-40EF-84CC-9ED0C628DB9B},FFP,,CERTIFIED,,2021/04/01 00:00:00+00,2021/04/01 02:10:00+00,1.44,1,IDSCC,,,,2021/07/14 14:43:44+00,,,,,Human,Debris/Open Burning,,NW1X,,2021/03/31 22:59:00+00,,2021/04/11 02:10:00+00,,,,,PN,1522,GBCC,,,,,,Dog Creek,,WF,FI,43.03278,-114.7381,2,2021/03/31 22:59:00+00,{013D5AF0-D135-45C5-9524-C0E212B65011},1,0,1,0,0,0,,37,,,,Gooding,IDSCC,16047,,IDEIS,,State,Other,,,,,,,GB06,,IDEIS,US-ID,Grass,GR2,,,,2021-IDEIS-000037,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/07/14 14:43:45+00,2021/04/01 14:14:41+00,{029D9FD4-5E62-49A3-BD04-C31CE8E09E44},0.003827169,-6.43E-07
2682,312015,Wildfire Daily Fire Perimeter,Hand Sketch,,2021/05/04 22:56:17+00,2021/05/05 20:21:31+00,2021/04/01 15:55:38+00,39.81595975,{4F5CC12C-E417-4678-9C8D-7A6E9D9D06F2},2021 NIFS,,DEFAULT,39.82,,2021/03/31 17:48:59+00,40,45,MNMNCC,,,,,,,,,Human,Incendiary,,,,2021/03/31 16:54:09+00,,2021/04/06 14:29:59+00,,,,,,,EACC,,,,,,312015,,WF,FI,,,,2021/03/31 17:06:59+00,{AC26688C-6A99-4401-81C1-197A8ABCF3D1},,0,,,,,,312015,,,,Benton,MNMNCC,27009,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,Grass,GR1,,,,2021-MNMNS-312015,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/04/27 15:00:06+00,2021/04/01 15:51:58+00,{587BCCB6-DAF6-4154-B07A-49687D2DE5E2},0.018317568,-1.86E-05
2689,79,Wildfire Daily Fire Perimeter,Mixed Methods,0.13,2021/06/17 20:09:46+00,2021/06/17 20:09:46+00,2021/04/01 17:29:59+00,0.125264452,{CF439D84-F5F3-4AB7-BF07-93B252E946B0},FFP,,CERTIFIED,,2021/03/30 23:45:59+00,2021/03/31 00:27:59+00,0.12,1,SDGPC,,,,2021/06/17 20:09:44+00,,,,,Human,Firearms/Weapons,,NWY1,,2021/03/30 22:46:00+00,,2021/04/02 21:11:00+00,,,,,PN,1522,RMCC,,,,,,79,,WF,FI,43.47849,-103.3419,,,{9F3B3CE4-6A3F-4C8F-9D6E-84EB03793C32},,0,1,0,0,0,,210176,,,,Fall River,SDGPC,46047,,,,Private,Private,,,,,,,RM50,DWF,SDSDS,US-SD,,,,,,2021-SDSDS-210176,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/06/17 20:09:44+00,2021/03/30 23:51:16+00,{16CC5FCF-A9E9-4F1D-8B47-4B00F759C385},0.001114265,-5.64E-08
2696,Frontage Ditch,Wildfire Daily Fire Perimeter,Hand Sketch,0.12,2021/05/04 22:56:17+00,2021/05/04 22:56:17+00,2021/04/01 21:15:26+00,0.153287601,{CC60A710-69A6-4D7B-A9DB-F04B78A90CEA},2021 NIFS,,DEFAULT,,2021/04/01 16:37:00+00,2021/04/01 16:37:00+00,0.12,0.12,MNMNCC,,,,,,,,,Human,Railroad,Rail/Track Grinding,,,2021/04/01 16:15:26+00,,2021/04/01 16:53:00+00,,,,,,,EACC,,,,,,Frontage Ditch,,WF,FI,,,,2021/04/01 16:35:51+00,{72F8F1D9-8D3A-451F-975C-F9C17F1761D5},1,0,,,,,,121061,,,,Roseau,MNMNCC,27135,,,,Private,Private,,,,,,,EA01,DNR,MNMNS,US-MN,Grass,GR3,,,,2021-MNMNS-121061,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/04/01 18:37:04+00,2021/04/01 17:52:01+00,{C01A4AF3-53CF-4A34-8CBB-0A178BADEBAB},0.001413728,-7.60E-08
2697,Sherwood,Prescribed Fire,Digitized-Image,0.1,2021/05/04 22:56:17+00,2021/05/04 22:56:17+00,2021/04/01 22:26:18+00,0.218898958,{51542129-3D73-4CB3-895B-71159B7D5E44},2021 NIFS,,DEFAULT,0.22,2021/04/01 17:48:53+00,2021/04/01 18:00:00+00,0.2,0.1,MNMNCC,,,,,,,,,Human,Incendiary,,,,2021/04/01 17:26:19+00,,2021/04/01 18:14:59+00,,,,,,,EACC,,,,,,Sherwood,,WF,FI,,,,2021/04/01 17:39:53+00,{1B55F76C-7244-4568-BD06-60D43469B7A7},1,0,,,,,,234008,,,,St. Louis,MNMNCC,27137,,,,City,Other,,,,,,,EA03,DNR,MNMNS,US-MN,Grass,,,,,2021-MNMNS-234008,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/06/07 17:26:57+00,2021/04/01 17:47:46+00,{B0334F0A-7C1E-4159-BCB7-311FBE5A30A5},0.001300462,-1.06E-07
